Date_reported,Country,Country_code,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-03,World,World,World,0,0,0,0
2020-01-04,World,World,World,1,1,0,0
2020-01-05,World,World,World,0,1,0,0
2020-01-06,World,World,World,3,4,0,0
2020-01-07,World,World,World,0,4,0,0
2020-01-08,World,World,World,0,4,0,0
2020-01-09,World,World,World,0,4,0,0
2020-01-10,World,World,World,0,4,0,0
2020-01-11,World,World,World,0,4,0,0
2020-01-12,World,World,World,41,45,1,1
2020-01-13,World,World,World,1,46,0,1
2020-01-14,World,World,World,5,51,0,1
2020-01-15,World,World,World,0,51,0,1
2020-01-16,World,World,World,0,51,0,1
2020-01-17,World,World,World,1,52,1,2
2020-01-18,World,World,World,4,56,0,2
2020-01-19,World,World,World,81,137,1,3
2020-01-20,World,World,World,82,219,1,4
2020-01-21,World,World,World,93,312,2,6
2020-01-22,World,World,World,144,456,11,17
2020-01-23,World,World,World,130,586,1,18
2020-01-24,World,World,World,311,897,8,26
2020-01-25,World,World,World,470,1367,16,42
2020-01-26,World,World,World,694,2061,14,56
2020-01-27,World,World,World,799,2860,26,82
2020-01-28,World,World,World,1774,4634,49,131
2020-01-29,World,World,World,1492,6126,2,133
2020-01-30,World,World,World,1754,7880,38,171
2020-01-31,World,World,World,2016,9896,42,213
2020-02-01,World,World,World,2112,12008,46,259
2020-02-02,World,World,World,2609,14617,103,362
2020-02-03,World,World,World,2839,17456,64,426
2020-02-04,World,World,World,3249,20705,66,492
2020-02-05,World,World,World,3929,24634,72,564
2020-02-06,World,World,World,3725,28359,70,634
2020-02-07,World,World,World,3204,31563,85,719
2020-02-08,World,World,World,3406,34969,87,806
2020-02-09,World,World,World,2668,37637,100,906
2020-02-10,World,World,World,3061,40698,107,1013
2020-02-11,World,World,World,2486,43184,100,1113
2020-02-12,World,World,World,2073,45257,5,1118
2020-02-13,World,World,World,15202,60459,254,1372
2020-02-14,World,World,World,4074,64533,152,1524
2020-02-15,World,World,World,2726,67259,143,1667
2020-02-16,World,World,World,2108,69367,104,1771
2020-02-17,World,World,World,2160,71527,98,1869
2020-02-18,World,World,World,1996,73523,139,2008
2020-02-19,World,World,World,1887,75410,113,2121
2020-02-20,World,World,World,420,75830,127,2248
2020-02-21,World,World,World,1023,76853,0,2248
2020-02-22,World,World,World,1063,77916,209,2457
2020-02-23,World,World,World,1035,78951,5,2462
2020-02-24,World,World,World,530,79481,158,2620
2020-02-25,World,World,World,831,80312,80,2700
2020-02-26,World,World,World,870,81182,64,2764
2020-02-27,World,World,World,1077,82259,41,2805
2020-02-28,World,World,World,1387,83646,63,2868
2020-02-29,World,World,World,1738,85384,67,2935
2020-03-01,World,World,World,1834,87218,47,2982
2020-03-02,World,World,World,1692,88910,66,3048
2020-03-03,World,World,World,2320,91230,79,3127
2020-03-04,World,World,World,2957,94187,91,3218
2020-03-05,World,World,World,2403,96590,84,3302
2020-03-06,World,World,World,3605,100195,103,3405
2020-03-07,World,World,World,3788,103983,109,3514
2020-03-08,World,World,World,3646,107629,129,3643
2020-03-09,World,World,World,3867,111496,225,3868
2020-03-10,World,World,World,5147,116643,207,4075
2020-03-11,World,World,World,5391,122034,302,4377
2020-03-12,World,World,World,7835,129869,353,4730
2020-03-13,World,World,World,9540,139409,366,5096
2020-03-14,World,World,World,11095,150504,479,5575
2020-03-15,World,World,World,12063,162567,450,6025
2020-03-16,World,World,World,11601,174168,724,6749
2020-03-17,World,World,World,16105,190273,746,7495
2020-03-18,World,World,World,16755,207028,847,8342
2020-03-19,World,World,World,22042,229070,1042,9384
2020-03-20,World,World,World,30300,259370,1230,10614
2020-03-21,World,World,World,32048,291418,1427,12041
2020-03-22,World,World,World,30799,322217,1815,13856
2020-03-23,World,World,World,32215,354432,1746,15602
2020-03-24,World,World,World,41692,396124,1930,17532
2020-03-25,World,World,World,45374,441498,2440,19972
2020-03-26,World,World,World,51847,493345,2671,22643
2020-03-27,World,World,World,58679,552024,2935,25578
2020-03-28,World,World,World,65807,617831,3444,29022
2020-03-29,World,World,World,63556,681387,3654,32676
2020-03-30,World,World,World,58472,739859,3381,36057
2020-03-31,World,World,World,58306,798165,3711,39768
2020-04-01,World,World,World,73830,871995,4312,44080
2020-04-02,World,World,World,72642,944637,4808,48888
2020-04-03,World,World,World,75688,1020325,4999,53887
2020-04-04,World,World,World,77391,1097716,6709,60596
2020-04-05,World,World,World,81345,1179061,5726,66322
2020-04-06,World,World,World,70013,1249074,4845,71167
2020-04-07,World,World,World,68245,1317319,5645,76812
2020-04-08,World,World,World,87596,1404915,8927,85739
2020-04-09,World,World,World,72950,1477865,5312,91051
2020-04-10,World,World,World,85674,1563539,7648,98699
2020-04-11,World,World,World,85652,1649191,7429,106128
2020-04-12,World,World,World,82511,1731702,6143,112271
2020-04-13,World,World,World,74188,1805890,5905,118176
2020-04-14,World,World,World,68026,1873916,5446,123622
