datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
15,0,1,15,15-Jan-0000 00:00:00,278.36643883702,279.045658780349,277.687218893691
501,1,5,15,15-May-0001 00:00:00,278.706536577698,280.213586404375,277.199486751022
989,2,9,15,15-Sep-0002 00:00:00,274.722904781432,272.486467524262,276.959342038602
1476,4,1,15,15-Jan-0004 00:00:00,277.839539858034,278.518759801363,277.160319914705
1962,5,5,15,15-May-0005 00:00:00,278.747823522954,280.254873349631,277.240773696278
2450,6,9,15,15-Sep-0006 00:00:00,274.730339521119,272.493902263949,276.966776778289
2937,8,1,15,15-Jan-0008 00:00:00,277.856299339917,278.535519283246,277.177079396588
3423,9,5,15,15-May-0009 00:00:00,278.759149111153,280.26619893783,277.252099284477
3911,10,9,15,15-Sep-0010 00:00:00,274.740766688995,272.504329431825,276.977203946165
4398,12,1,15,15-Jan-0012 00:00:00,277.880670594442,278.559890537771,277.201450651113
4884,13,5,15,15-May-0013 00:00:00,278.783500658946,280.290550485623,277.27645083227
5372,14,9,15,15-Sep-0014 00:00:00,274.760135415231,272.523698158061,276.996572672401
5859,16,1,15,15-Jan-0016 00:00:00,277.901042219627,278.580262162956,277.221822276298
6345,17,5,15,15-May-0017 00:00:00,278.801531582471,280.308581409148,277.294481755795
6833,18,9,15,15-Sep-0018 00:00:00,274.784160951491,272.547723694321,277.020598208661
7320,20,1,15,15-Jan-0020 00:00:00,277.914711158804,278.593931102133,277.235491215475
7806,21,5,15,15-May-0021 00:00:00,278.816084104516,280.323133931193,277.30903427784
8294,22,9,15,15-Sep-0022 00:00:00,274.797000899076,272.560563641906,277.033438156246
8781,24,1,15,15-Jan-0024 00:00:00,277.930615353122,278.609835296451,277.251395409793
9267,25,5,15,15-May-0025 00:00:00,278.838561256412,280.345611083089,277.331511429736
9755,26,9,15,15-Sep-0026 00:00:00,274.820944125036,272.584506867866,277.057381382206
10242,28,1,15,15-Jan-0028 00:00:00,277.965647245524,278.644867188853,277.286427302195
10728,29,5,15,15-May-0029 00:00:00,278.862846221134,280.369896047811,277.355796394458
11216,30,9,15,15-Sep-0030 00:00:00,274.841279701428,272.604842444258,277.077716958598
11703,32,1,15,15-Jan-0032 00:00:00,277.976517960995,278.655737904324,277.297298017666
12189,33,5,15,15-May-0033 00:00:00,278.872090494144,280.379140320821,277.365040667468
12677,34,9,15,15-Sep-0034 00:00:00,274.854036173873,272.617598916703,277.090473431043
13164,36,1,15,15-Jan-0036 00:00:00,277.988087734657,278.667307677986,277.308867791328
13650,37,5,15,15-May-0037 00:00:00,278.891691254556,280.398741081233,277.38464142788
14138,38,9,15,15-Sep-0038 00:00:00,274.874286336095,272.637849078925,277.110723593265
14625,40,1,15,15-Jan-0040 00:00:00,278.007087271931,278.68630721526,277.327867328602
15111,41,5,15,15-May-0041 00:00:00,278.911032675234,280.418082501911,277.403982848558
15599,42,9,15,15-Sep-0042 00:00:00,274.892502768411,272.656065511241,277.128940025581
16086,44,1,15,15-Jan-0044 00:00:00,278.024966412298,278.704186355627,277.345746468969
16572,45,5,15,15-May-0045 00:00:00,278.923974034556,280.431023861233,277.41692420788
17060,46,9,15,15-Sep-0046 00:00:00,274.90702995495,272.67059269778,277.14346721212
17547,48,1,15,15-Jan-0048 00:00:00,278.036623612616,278.715843555945,277.357403669287
18033,49,5,15,15-May-0049 00:00:00,278.941245090753,280.44829491743,277.434195264077
18521,50,9,15,15-Sep-0050 00:00:00,274.919753821728,272.683316564558,277.156191078898
19008,52,1,15,15-Jan-0052 00:00:00,278.051188786983,278.730408730312,277.371968843654
19494,53,5,15,15-May-0053 00:00:00,278.951885841603,280.45893566828,277.444836014927
