location,date,time_unit,p_scores_all_ages,deaths_2020_all_ages,average_deaths_2015_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2021_all_ages,time,projected_deaths_2020_all_ages,excess_proj_all_ages,cum_excess_proj_all_ages,cum_proj_deaths_all_ages,cum_p_proj_all_ages,p_proj_all_ages
Albania,2020-01-31T00:00:00.000Z,monthly,-10.65,2187,2447.8,2490,2065,3129,2158,2397,2977,1,2434.2,-247.2,-247.2,2434.2,-10.16,-10.16
Albania,2020-02-29T00:00:00.000Z,monthly,2.17,2018,1975.2,2139,1905,1845,2013,1974,3738,2,1961.6,56.4,-190.8,4395.8,-4.34,2.88
Albania,2020-03-31T00:00:00.000Z,monthly,0.62,1993,1980.8,2051,1910,1817,2136,1990,2942,3,1967.2,25.8,-165,6363,-2.59,1.31
Albania,2020-04-30T00:00:00.000Z,monthly,3.23,1804,1747.6,1906,1652,1665,1828,1687,2406,4,1734,70,-95,8097,-1.17,4.04
Albania,2020-05-31T00:00:00.000Z,monthly,6.15,1803,1698.6,1709,1716,1660,1664,1744,1862,5,1685,118,23,9782,0.24,7
Albania,2020-06-30T00:00:00.000Z,monthly,9.3,1779,1627.6,1561,1678,1605,1576,1718,1509,6,1614,165,188,11396,1.65,10.22
Albania,2020-07-31T00:00:00.000Z,monthly,22.73,2166,1764.8,2008,1643,1788,1641,1744,,7,1751.2,414.8,602.8,13147.2,4.59,23.69
Albania,2020-08-31T00:00:00.000Z,monthly,44.95,2476,1708.2,1687,1578,1833,1709,1734,,8,1694.6,781.4,1384.2,14841.8,9.33,46.11
Albania,2020-09-30T00:00:00.000Z,monthly,29.39,1982,1531.8,1569,1459,1482,1621,1528,,9,1518.2,463.8,1848,16360,11.3,30.55
Albania,2020-10-31T00:00:00.000Z,monthly,44.36,2403,1664.6,1560,1743,1679,1668,1673,,10,1651,752,2600,18011,14.44,45.55
Albania,2020-11-30T00:00:00.000Z,monthly,118.46,3854,1764.2,1728,1855,1716,1730,1792,,11,1750.6,2103.4,4703.4,19761.6,23.8,120.15
Albania,2020-12-31T00:00:00.000Z,monthly,53.58,3140,2044.6,2010,2184,2013,2060,1956,,12,2031,1109,5812.4,21792.6,26.67,54.6
Albania,2021-01-31T00:00:00.000Z,monthly,21.62,,,,,,,,,1,,542.8,6355.2,24226.8,26.23,22.3
Albania,2021-02-28T00:00:00.000Z,monthly,89.25,,,,,,,,,2,,1776.4,8131.6,26188.4,31.05,90.56
