date,deaths,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,death_years_not_specified,reported,severe,injuries,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years,total_death_years_not_specified
2020-12-10,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0,0,0,0,14,9,40,0,15,42,9,0,0,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0,0,0,0,107,114,357,0,122,399,123,0,0,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0,0,0,0,110,118,324,0,232,723,241,0,0,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0,0,0,0,77,83,277,0,309,1000,324,0,0,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0,0,0,0,91,151,318,0,400,1318,475,0,0,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0,0,0,0,99,86,295,0,499,1613,561,0,0,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0,0,0,0,282,399,943,0,781,2556,960,0,0,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0,0,0,0,168,215,525,0,949,3081,1175,0,0,0,0,0,0,0,0
2020-12-23,7,0,0,0,0,0,1,0,0,272,358,832,7,1221,3913,1533,0,0,0,0,0,1,0,0
2020-12-24,4,0,0,0,0,0,2,2,0,191,270,563,11,1412,4476,1803,0,0,0,0,0,3,2,0
2020-12-25,5,0,0,0,0,4,0,1,0,219,344,682,16,1631,5158,2147,0,0,0,0,4,3,3,0
2020-12-28,0,0,0,0,0,0,0,0,0,74,131,260,16,1705,5418,2278,0,0,0,0,4,3,3,0
2020-12-29,0,0,0,0,0,0,0,0,0,118,126,353,16,1823,5771,2404,0,0,0,0,4,3,3,0
2020-12-30,1,0,0,0,0,0,0,1,0,402,454,1258,17,2225,7029,2858,0,0,0,0,4,3,4,0
2020-12-31,0,0,0,0,0,0,0,0,0,215,362,714,17,2440,7743,3220,0,0,0,0,4,3,4,0
