date,deaths,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,reported,severe,injuries,death_3_12_years,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years
2021-01-11,0,0,0,0,0,0,0,0,5,4,12,0,0,5,12,4,0,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0,0,0,5,0,16,0,0,10,28,4,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,0,0,3,0,8,0,0,13,36,4,0,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,0,0,3,0,12,0,0,16,48,4,0,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0,4,14,18,0,0,20,66,18,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0,3,8,11,0,0,23,77,26,0,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0,0,0,11,40,47,0,0,34,124,66,0,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,0,0,35,136,136,0,0,69,260,202,0,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0,0,0,28,123,115,0,0,97,375,325,0,0,0,0,0,0,0
2021-01-22,0,0,0,0,0,0,0,0,30,144,136,0,0,127,511,469,0,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,0,0,5,18,19,0,0,132,530,487,0,0,0,0,0,0,0
2021-01-26,1,0,0,0,0,0,0,1,7,71,27,0,1,139,557,558,0,0,0,0,0,0,1
2021-01-27,2,0,0,0,0,1,0,1,26,85,74,0,3,165,631,643,0,0,0,0,1,0,2
2021-01-28,8,0,0,0,0,0,2,6,28,121,110,0,11,193,741,764,0,0,0,0,1,2,8
2021-01-29,2,0,0,0,0,1,0,1,181,711,667,0,13,374,1408,1475,0,0,0,0,2,2,9
2021-01-30,0,0,0,0,0,0,0,0,20,93,90,0,13,394,1498,1568,0,0,0,0,2,2,9
2021-01-31,0,0,0,0,0,0,0,0,14,35,33,0,13,408,1531,1603,0,0,0,0,2,2,9
2021-02-01,1,0,0,0,0,1,0,0,87,284,266,0,14,495,1797,1887,0,0,0,0,3,2,9
2021-02-02,0,0,0,0,0,0,0,0,267,997,954,0,14,762,2751,2884,0,0,0,0,3,2,9
2021-02-03,13,0,0,0,0,0,9,4,224,822,824,0,27,986,3575,3706,0,0,0,0,3,11,13
2021-02-04,0,0,0,0,0,0,0,0,194,781,743,0,27,1180,4318,4487,0,0,0,0,3,11,13
2021-02-05,5,0,0,0,0,0,0,5,225,831,793,0,32,1405,5111,5318,0,0,0,0,3,11,18
