date,deaths,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,reported,severe,injuries,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years
2020-12-10,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0,0,0,14,9,40,0,15,42,9,0,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0,0,0,107,114,357,0,122,399,123,0,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0,0,0,110,118,324,0,232,723,241,0,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0,0,0,77,83,277,0,309,1000,324,0,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0,0,0,91,151,318,0,400,1318,475,0,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0,0,0,99,86,295,0,499,1613,561,0,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0,0,0,282,399,943,0,781,2556,960,0,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0,0,0,168,215,525,0,949,3081,1175,0,0,0,0,0,0,0
2020-12-23,7,0,0,0,0,0,1,0,272,358,832,7,1221,3913,1533,0,0,0,0,0,1,0
2020-12-24,4,0,0,0,0,0,2,2,191,270,563,11,1412,4476,1803,0,0,0,0,0,3,2
2020-12-25,5,0,0,0,0,4,0,1,219,344,682,16,1631,5158,2147,0,0,0,0,4,3,3
2020-12-28,0,0,0,0,0,0,0,0,74,131,260,16,1705,5418,2278,0,0,0,0,4,3,3
2020-12-29,0,0,0,0,0,0,0,0,118,126,353,16,1823,5771,2404,0,0,0,0,4,3,3
2020-12-30,1,0,0,0,0,0,0,1,402,454,1258,17,2225,7029,2858,0,0,0,0,4,3,4
2020-12-31,0,0,0,0,0,0,0,0,215,362,714,17,2440,7743,3220,0,0,0,0,4,3,4
2021-01-01,0,0,0,0,0,0,0,0,24,13,64,17,2464,7807,3233,0,0,0,0,4,3,4
2021-01-02,0,0,0,0,0,0,0,0,19,30,59,17,2483,7866,3263,0,0,0,0,4,3,4
2021-01-03,0,0,0,0,0,0,0,0,3,3,8,17,2486,7874,3266,0,0,0,0,4,3,4
2021-01-04,8,0,0,0,0,0,6,2,207,251,691,25,2693,8565,3517,0,0,0,0,4,9,6
2021-01-05,3,0,0,0,0,2,0,1,148,119,408,28,2841,8973,3636,0,0,0,0,6,9,7
2021-01-06,3,0,0,0,0,0,1,2,191,161,512,31,3032,9485,3797,0,0,0,0,6,10,9
2021-01-07,13,0,0,0,0,1,2,10,236,242,664,44,3268,10149,4039,0,0,0,0,7,12,19
2021-01-08,9,0,0,0,0,0,8,1,346,313,909,53,3614,11058,4352,0,0,0,0,7,20,20
2021-01-09,0,0,0,0,0,0,0,0,141,14,337,53,3755,11395,4366,0,0,0,0,7,20,20
2021-01-10,0,0,0,0,0,0,0,0,38,6,74,53,3793,11469,4372,0,0,0,0,7,20,20
2021-01-11,4,0,0,0,0,0,0,4,415,524,1377,57,4208,12846,4896,0,0,0,0,7,20,24
2021-01-12,11,0,0,0,0,4,4,3,672,530,2029,68,4880,14875,5426,0,0,0,0,11,24,27
2021-01-13,15,0,0,0,0,0,4,11,776,801,2303,83,5656,17178,6227,0,0,0,0,11,28,38
2021-01-14,7,0,0,0,0,0,4,0,755,747,2284,90,6411,19462,6974,0,0,0,0,11,32,38
2021-01-15,22,0,0,0,0,2,10,10,671,833,2274,112,7082,21736,7807,0,0,0,0,13,42,48
2021-01-16,0,0,0,0,0,0,0,0,39,26,131,112,7121,21867,7833,0,0,0,0,13,42,48
2021-01-17,6,0,0,0,0,0,0,6,203,66,499,118,7324,22366,7899,0,0,0,0,13,42,54
2021-01-18,23,0,0,0,0,1,16,6,884,1142,2953,141,8208,25319,9041,0,0,0,0,14,58,60
2021-01-19,35,0,0,0,0,0,17,16,866,1044,2787,176,9074,28106,10085,0,0,0,0,14,75,76
2021-01-20,21,0,0,0,0,2,2,17,756,1122,2553,197,9830,30659,11207,0,0,0,0,16,77,93
2021-01-21,41,0,0,0,0,0,8,33,1035,1280,3352,238,10865,34011,12487,0,0,0,0,16,85,126
2021-01-22,43,0,0,0,0,7,7,29,2357,1240,7127,281,13222,41138,13727,0,0,0,0,23,92,155
2021-01-23,4,0,0,0,0,0,0,4,1016,233,2994,285,14238,44132,13960,0,0,0,0,23,92,159
2021-01-24,1,0,0,0,0,0,1,0,121,48,376,286,14359,44508,14008,0,0,0,0,23,93,159
2021-01-25,38,0,0,0,0,0,13,21,952,1270,3116,324,15311,47624,15278,0,0,0,0,23,106,180
2021-01-26,45,0,0,0,0,2,9,34,1929,1539,6305,369,17240,53929,16817,0,0,0,0,25,115,214
2021-01-27,40,0,0,0,0,4,13,23,1571,1354,4946,409,18811,58875,18171,0,0,0,0,29,128,237
2021-01-28,73,0,0,0,0,6,27,40,1805,1741,5633,482,20616,64508,19912,0,0,0,0,35,155,277
2021-01-29,71,0,0,0,0,3,18,48,2021,2362,6511,553,22637,71019,22274,0,0,0,0,38,173,325
2021-01-30,13,0,0,0,0,1,3,9,1135,424,3694,566,23772,74713,22698,0,0,0,0,39,176,334
2021-01-31,3,0,0,0,0,0,0,3,382,102,1325,569,24154,76038,22800,0,0,0,0,39,176,337
2021-02-01,79,0,0,0,0,6,27,40,1781,3049,6293,648,25935,82331,25849,0,0,0,0,45,203,377
2021-02-02,40,0,0,0,0,0,14,25,2736,4200,9793,688,28671,92124,30049,0,0,0,0,45,217,402
2021-02-03,57,0,0,0,0,6,28,23,2281,3477,8218,745,30952,100342,33526,0,0,0,0,51,245,425
2021-02-04,37,0,0,0,0,2,11,24,2731,2990,9264,782,33683,109606,36516,0,0,0,0,53,256,449
2021-02-05,57,0,0,0,0,0,24,32,2101,2122,6884,839,35784,116490,38638,0,0,0,0,53,280,481
2021-02-06,11,0,0,0,0,0,6,5,1269,395,4386,850,37053,120876,39033,0,0,0,0,53,286,486
2021-02-07,2,0,0,0,0,0,0,1,664,474,2268,852,37717,123144,39507,0,0,0,0,53,286,487
2021-02-08,88,0,0,0,0,4,24,60,1834,3988,6806,940,39551,129950,43495,0,0,0,0,57,310,547
