date,deaths,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,reported,severe,injuries,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years
2021-03-10,0,0,0,0,0,0,0,0,1,3,3,0,1,3,3,0,0,0,0,0,0,0
2021-03-11,0,0,0,0,0,0,0,0,5,15,15,0,6,18,18,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,0,0,1,2,2,0,7,20,20,0,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,0,0,0,2,7,7,0,9,27,27,0,0,0,0,0,0,0
2021-03-18,0,0,0,0,0,0,0,0,1,2,2,0,10,29,29,0,0,0,0,0,0,0
2021-03-19,1,0,0,0,0,1,0,0,7,22,22,1,17,51,51,0,0,0,0,1,0,0
2021-03-20,0,0,0,0,0,0,0,0,1,2,2,1,18,53,53,0,0,0,0,1,0,0
2021-03-22,0,0,0,0,0,0,0,0,2,7,7,1,20,60,60,0,0,0,0,1,0,0
2021-03-23,0,0,0,0,0,0,0,0,9,32,36,1,29,96,92,0,0,0,0,1,0,0
2021-03-24,0,0,0,0,0,0,0,0,5,11,12,1,34,108,103,0,0,0,0,1,0,0
2021-03-25,0,0,0,0,0,0,0,0,8,39,38,1,42,146,142,0,0,0,0,1,0,0
2021-03-26,0,0,0,0,0,0,0,0,8,48,48,1,50,194,190,0,0,0,0,1,0,0
2021-03-29,3,0,0,0,0,1,2,0,9,28,26,4,59,220,218,0,0,0,0,2,2,0
2021-03-30,10,0,0,0,0,8,0,0,8,71,43,14,67,263,289,0,0,0,0,10,2,0
2021-03-31,8,0,0,0,0,7,0,0,19,78,70,22,86,333,367,0,0,0,0,17,2,0
2021-04-01,2,0,0,0,0,0,0,0,6,38,36,24,92,369,405,0,0,0,0,17,2,0
2021-04-02,0,0,0,0,0,0,0,0,7,43,43,24,99,412,448,0,0,0,0,17,2,0
2021-04-05,7,0,0,0,0,0,0,7,7,43,31,31,106,443,491,0,0,0,0,17,2,7
2021-04-06,0,0,0,0,0,0,0,0,4,23,23,31,110,466,514,0,0,0,0,17,2,7
2021-04-07,0,0,0,0,0,0,0,0,4,10,16,31,114,482,524,0,0,0,0,17,2,7
2021-04-08,4,0,0,0,0,0,4,0,8,29,25,35,122,507,553,0,0,0,0,17,6,7
2021-04-09,0,0,0,0,0,0,0,0,5,32,32,35,127,539,585,0,0,0,0,17,6,7
2021-04-12,0,0,0,0,0,0,0,0,6,37,37,35,133,576,622,0,0,0,0,17,6,7
2021-04-13,0,0,0,0,0,0,0,0,6,16,23,35,139,599,638,0,0,0,0,17,6,7
2021-04-14,0,0,0,0,0,0,0,0,7,19,19,35,146,618,657,0,0,0,0,17,6,7
2021-04-15,1,0,0,0,0,1,0,0,3,20,19,36,149,637,677,0,0,0,0,18,6,7
2021-04-16,1,0,0,0,0,0,0,0,8,60,43,37,157,680,737,0,0,0,0,18,6,7
2021-04-17,1,0,0,0,0,0,0,0,1,1,1,38,158,681,738,0,0,0,0,18,6,7
2021-04-18,5,0,0,0,0,3,2,0,5,12,10,43,163,691,750,0,0,0,0,21,8,7
2021-04-19,3,0,0,0,0,3,0,0,11,50,47,46,174,738,800,0,0,0,0,24,8,7
2021-04-20,2,0,0,0,0,0,0,0,24,135,111,48,198,849,935,0,0,0,0,24,8,7
2021-04-21,4,0,0,0,0,4,0,0,20,111,89,52,218,938,1046,0,0,0,0,28,8,7
2021-04-22,13,0,0,0,0,11,1,0,29,168,139,65,247,1077,1214,0,0,0,0,39,9,7
2021-04-23,1,0,0,0,0,1,0,0,23,75,68,66,270,1145,1289,0,0,0,0,40,9,7
2021-04-24,0,0,0,0,0,0,0,0,10,53,49,66,280,1194,1342,0,0,0,0,40,9,7
2021-04-25,0,0,0,0,0,0,0,0,82,7,456,66,362,1650,1349,0,0,0,0,40,9,7
2021-04-26,14,0,0,0,0,13,1,0,126,402,658,80,488,2308,1751,0,0,0,0,53,10,7
2021-04-27,4,0,0,0,0,4,0,0,125,249,621,84,613,2929,2000,0,0,0,0,57,10,7
2021-04-28,18,0,0,0,0,15,1,0,153,421,864,102,766,3793,2421,0,0,0,0,72,11,7
2021-04-29,54,0,0,0,0,37,12,5,199,422,1161,156,965,4954,2843,0,0,0,0,109,23,12
2021-04-30,62,0,0,0,0,12,38,4,344,1300,1798,218,1309,6752,4143,0,0,0,0,121,61,16
2021-05-01,0,0,0,0,0,0,0,0,110,0,628,218,1419,7380,4143,0,0,0,0,121,61,16
2021-05-02,0,0,0,0,0,0,0,0,155,0,937,218,1574,8317,4143,0,0,0,0,121,61,16
2021-05-03,27,0,0,0,0,16,11,0,159,276,841,245,1733,9158,4419,0,0,0,0,137,72,16
2021-05-04,10,0,0,0,0,0,10,0,144,355,796,255,1877,9954,4774,0,0,0,0,137,82,16
2021-05-05,55,0,0,0,0,18,36,0,172,816,936,310,2049,10890,5590,0,0,0,0,155,118,16
2021-05-06,55,0,0,0,0,27,28,0,228,1036,1193,365,2277,12083,6626,0,0,0,0,182,146,16
2021-05-07,1,0,0,0,0,1,0,0,238,995,1222,366,2515,13305,7621,0,0,0,0,183,146,16
2021-05-08,0,0,0,0,0,0,0,0,118,0,674,366,2633,13979,7621,0,0,0,0,183,146,16
2021-05-09,0,0,0,0,0,0,0,0,37,0,230,366,2670,14209,7621,0,0,0,0,183,146,16
2021-05-10,34,0,0,0,0,21,0,13,262,1365,1518,400,2932,15727,8986,0,0,0,0,204,146,29
2021-05-11,6,0,0,0,0,5,0,0,222,903,1241,406,3154,16968,9889,0,0,0,0,209,146,29
2021-05-12,31,0,0,0,0,12,19,0,274,1130,1454,437,3428,18422,11019,0,0,0,0,221,165,29
2021-05-13,11,0,0,0,0,1,0,10,222,786,1315,448,3650,19737,11805,0,0,0,0,222,165,39
2021-05-14,55,0,0,0,0,18,35,0,142,702,894,503,3792,20631,12507,0,0,0,0,240,200,39
2021-05-15,0,0,0,0,0,0,0,0,50,0,290,503,3842,20921,12507,0,0,0,0,240,200,39
2021-05-16,0,0,0,0,0,0,0,0,47,5,263,503,3889,21184,12512,0,0,0,0,240,200,39
2021-05-17,11,0,0,0,0,0,0,6,89,425,464,514,3978,21648,12937,0,0,0,0,240,200,45
2021-05-18,15,0,0,0,0,5,10,0,136,395,742,529,4114,22390,13332,0,0,0,0,245,210,45
2021-05-19,21,0,0,0,0,15,3,0,168,839,943,550,4282,23333,14171,0,0,0,0,260,213,45
2021-05-20,41,0,0,0,0,2,39,0,162,674,1030,591,4444,24363,14845,0,0,0,0,262,252,45
2021-05-21,8,0,0,0,0,6,0,0,172,467,1098,599,4616,25461,15312,0,0,0,0,268,252,45
2021-05-22,0,0,0,0,0,0,0,0,123,3,725,599,4739,26186,15315,0,0,0,0,268,252,45
2021-05-23,0,0,0,0,0,0,0,0,126,11,774,599,4865,26960,15326,0,0,0,0,268,252,45
2021-05-24,1,0,0,0,0,1,0,0,177,344,1007,600,5042,27967,15670,0,0,0,0,269,252,45
2021-05-25,4,0,0,0,0,2,1,0,204,808,1159,604,5246,29126,16478,0,0,0,0,271,253,45
2021-05-26,30,0,0,0,0,2,26,1,271,761,1548,634,5517,30674,17239,0,0,0,0,273,279,46
2021-05-27,20,0,0,0,0,1,17,0,277,706,1550,654,5794,32224,17945,0,0,0,0,274,296,46
2021-05-28,7,0,0,0,0,4,0,3,164,403,922,661,5958,33146,18348,0,0,0,0,278,296,49
2021-05-29,0,0,0,0,0,0,0,0,154,2,817,661,6112,33963,18350,0,0,0,0,278,296,49
2021-05-30,0,0,0,0,0,0,0,0,167,0,898,661,6279,34861,18350,0,0,0,0,278,296,49
2021-05-31,12,0,0,0,0,4,8,0,430,1187,2518,673,6709,37379,19537,0,0,0,0,282,304,49
2021-06-01,2,0,0,0,0,0,1,0,371,447,1985,675,7080,39364,19984,0,0,0,0,282,305,49
2021-06-02,76,0,0,0,0,12,0,60,383,344,2086,751,7463,41450,20328,0,0,0,0,294,305,109
2021-06-03,1,0,0,0,0,0,1,0,351,190,1801,752,7814,43251,20518,0,0,0,0,294,306,109
2021-06-04,11,0,0,0,0,11,0,0,320,96,1539,763,8134,44790,20614,0,0,0,0,305,306,109
2021-06-05,0,0,0,0,0,0,0,0,156,11,760,763,8290,45550,20625,0,0,0,0,305,306,109
2021-06-06,0,0,0,0,0,0,0,0,92,0,461,763,8382,46011,20625,0,0,0,0,305,306,109
2021-06-07,0,0,0,0,0,0,0,0,233,108,1225,763,8615,47236,20733,0,0,0,0,305,306,109
2021-06-08,40,0,0,0,0,35,3,2,324,414,1584,803,8939,48820,21147,0,0,0,0,340,309,111
2021-06-09,9,0,0,0,0,9,0,0,263,557,1417,812,9202,50237,21704,0,0,0,0,349,309,111
2021-06-10,61,0,0,0,0,55,6,0,320,557,1349,873,9522,51586,22261,0,0,0,0,404,315,111
2021-06-11,18,0,0,0,0,0,18,0,215,259,961,891,9737,52547,22520,0,0,0,0,404,333,111
2021-06-12,0,0,0,0,0,0,0,0,80,0,427,891,9817,52974,22520,0,0,0,0,404,333,111
2021-06-13,0,0,0,0,0,0,0,0,58,8,302,891,9875,53276,22528,0,0,0,0,404,333,111
2021-06-14,43,0,0,0,0,42,1,0,207,245,861,934,10082,54137,22773,0,0,0,0,446,334,111
2021-06-15,17,0,0,0,0,16,0,1,224,231,933,951,10306,55070,23004,0,0,0,0,462,334,112
2021-06-16,0,0,0,0,0,0,0,0,254,458,1109,951,10560,56179,23462,0,0,0,0,462,334,112
2021-06-17,11,0,0,0,0,3,6,0,171,395,733,962,10731,56912,23857,0,0,0,0,465,340,112
2021-06-18,2,0,0,0,0,0,1,0,179,323,823,964,10910,57735,24180,0,0,0,0,465,341,112
2021-06-19,0,0,0,0,0,0,0,0,81,4,375,964,10991,58110,24184,0,0,0,0,465,341,112
2021-06-20,0,0,0,0,0,0,0,0,76,0,453,964,11067,58563,24184,0,0,0,0,465,341,112
2021-06-21,0,0,0,0,0,0,0,0,176,253,862,964,11243,59425,24437,0,0,0,0,465,341,112
2021-06-22,10,0,0,0,0,3,0,0,259,881,1421,974,11502,60846,25318,0,0,0,0,468,341,112
2021-06-23,5,0,0,0,0,0,2,0,197,331,869,979,11699,61715,25649,0,0,0,0,468,343,112
2021-06-24,1,0,0,0,0,1,0,0,295,265,1249,980,11994,62964,25914,0,0,0,0,469,343,112
2021-06-25,10,0,0,0,0,6,4,0,310,243,1422,990,12304,64386,26157,0,0,0,0,475,347,112
2021-06-26,0,0,0,0,0,0,0,0,170,146,787,990,12474,65173,26303,0,0,0,0,475,347,112
2021-06-27,16,0,0,0,0,16,0,0,219,232,1120,1006,12693,66293,26535,0,0,0,0,491,347,112
2021-06-28,4,0,0,0,0,2,0,0,414,474,2047,1010,13107,68340,27009,0,0,0,0,493,347,112
2021-06-29,2,0,0,0,0,1,1,0,317,332,1552,1012,13424,69892,27341,0,0,0,0,494,348,112
2021-06-30,20,0,0,0,0,10,10,0,456,1049,2178,1032,13880,72070,28390,0,0,0,0,504,358,112
2021-07-01,14,0,0,0,0,12,2,0,338,567,1773,1046,14218,73843,28957,0,0,0,0,516,360,112
2021-07-02,28,0,0,0,0,0,25,3,292,516,1571,1074,14510,75414,29473,0,0,0,0,516,385,115
2021-07-03,0,0,0,0,0,0,0,0,84,19,445,1074,14594,75859,29492,0,0,0,0,516,385,115
2021-07-04,0,0,0,0,0,0,0,0,111,18,637,1074,14705,76496,29510,0,0,0,0,516,385,115
2021-07-05,5,0,0,0,0,0,5,0,430,255,2134,1079,15135,78630,29765,0,0,0,0,516,390,115
2021-07-06,12,0,0,0,0,12,0,0,238,247,1166,1091,15373,79796,30012,0,0,0,0,528,390,115
2021-07-07,29,0,0,0,0,13,16,0,233,593,1132,1120,15606,80928,30605,0,0,0,0,541,406,115
2021-07-08,27,0,0,0,0,25,2,0,188,264,838,1147,15794,81766,30869,0,0,0,0,566,408,115
2021-07-09,18,0,0,0,0,10,8,0,285,1170,1565,1165,16079,83331,32039,0,0,0,0,576,416,115
2021-07-10,3,0,0,0,0,3,0,0,243,6,1402,1168,16322,84733,32045,0,0,0,0,579,416,115
2021-07-11,0,0,0,0,0,0,0,0,46,0,235,1168,16368,84968,32045,0,0,0,0,579,416,115
2021-07-12,38,0,0,0,0,0,38,0,188,814,1143,1206,16556,86111,32859,0,0,0,0,579,454,115
2021-07-13,10,0,0,0,0,9,1,0,174,509,919,1216,16730,87030,33368,0,0,0,0,588,455,115
2021-07-14,13,0,0,0,0,2,11,0,145,338,704,1229,16875,87734,33706,0,0,0,0,590,466,115
2021-07-15,8,0,0,0,0,0,6,0,139,445,657,1237,17014,88391,34151,0,0,0,0,590,472,115
2021-07-16,52,0,0,0,0,6,46,0,120,340,491,1289,17134,88882,34491,0,0,0,0,596,518,115
2021-07-17,1,0,0,0,0,1,0,0,140,7,763,1290,17274,89645,34498,0,0,0,0,597,518,115
2021-07-18,0,0,0,0,0,0,0,0,10,1,44,1290,17284,89689,34499,0,0,0,0,597,518,115
2021-07-19,10,0,0,0,0,3,2,5,135,359,538,1300,17419,90227,34858,0,0,0,0,600,520,120
2021-07-20,6,0,0,0,0,3,2,1,324,566,1020,1306,17743,91247,35424,0,0,0,0,603,522,121
2021-07-21,5,0,0,0,0,3,1,1,113,88,377,1311,17856,91624,35512,0,0,0,0,606,523,122
2021-07-22,11,0,0,0,0,3,8,0,130,269,520,1322,17986,92144,35781,0,0,0,0,609,531,122
2021-07-23,12,0,0,0,0,12,0,0,134,595,597,1334,18120,92741,36376,0,0,0,0,621,531,122
2021-07-24,0,0,0,0,0,0,0,0,8,8,28,1334,18128,92769,36384,0,0,0,0,621,531,122
2021-07-25,0,0,0,0,0,0,0,0,92,8,497,1334,18220,93266,36392,0,0,0,0,621,531,122
2021-07-26,10,0,0,0,0,6,4,0,103,357,514,1344,18323,93780,36749,0,0,0,0,627,535,122
2021-07-27,12,0,0,0,0,8,4,0,166,439,682,1356,18489,94462,37188,0,0,0,0,635,539,122
2021-07-28,7,0,0,0,0,4,3,0,410,1201,1824,1363,18899,96286,38389,0,0,0,0,639,542,122
2021-07-29,19,0,0,0,0,10,9,0,254,778,1184,1382,19153,97470,39167,0,0,0,0,649,551,122
