date,deaths,injuries,severe,reported,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,death_years_not_specified,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years,total_death_years_not_specified
2021-03-02,0,5,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
2021-03-03,0,20,0,4,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0
2021-03-04,0,65,0,13,0,0,0,0,0,0,0,0,0,18,90,0,0,0,0,0,0,0,0,0
2021-03-05,0,200,0,40,0,0,0,0,0,0,0,0,0,58,290,0,0,0,0,0,0,0,0,0
2021-03-06,0,400,0,80,0,0,0,0,0,0,0,0,0,138,690,0,0,0,0,0,0,0,0,0
2021-03-07,0,830,0,166,0,0,0,0,0,0,0,0,0,304,1520,0,0,0,0,0,0,0,0,0
2021-03-08,0,1390,0,278,0,0,0,0,0,0,0,0,0,582,2910,0,0,0,0,0,0,0,0,0
2021-03-09,0,1675,0,335,0,0,0,0,0,0,0,0,0,917,4585,0,0,0,0,0,0,0,0,0
2021-03-10,0,1985,0,397,0,0,0,0,0,0,0,0,0,1314,6570,0,0,0,0,0,0,0,0,0
2021-03-11,0,1910,0,382,0,0,0,0,0,0,0,0,0,1696,8480,0,0,0,0,0,0,0,0,0
2021-03-12,1,1165,0,233,0,0,0,0,0,1,0,0,1,1929,9645,0,0,0,0,0,0,1,0,0
2021-03-13,0,1270,0,254,0,0,0,0,0,0,0,0,1,2183,10915,0,0,0,0,0,0,1,0,0
2021-03-14,1,1530,0,306,0,0,0,0,1,0,0,0,2,2489,12445,0,0,0,0,0,1,1,0,0
2021-03-15,4,2090,0,418,0,0,0,0,0,2,2,0,6,2907,14535,0,0,0,0,0,1,3,2,0
2021-03-16,4,1700,0,340,0,0,0,0,1,2,1,0,10,3247,16235,0,0,0,0,0,2,5,3,0
2021-03-17,1,1215,0,243,0,0,0,0,0,1,0,0,11,3490,17450,0,0,0,0,0,2,6,3,0
2021-03-18,4,1245,0,249,0,0,0,0,1,3,0,0,15,3739,18695,0,0,0,0,0,3,9,3,0
2021-03-19,2,1240,0,248,0,0,0,0,1,0,1,0,17,3987,19935,0,0,0,0,0,4,9,4,0
2021-03-20,1,810,0,162,0,0,0,0,1,0,0,0,18,4149,20745,0,0,0,0,0,5,9,4,0
2021-03-21,0,765,0,153,0,0,0,0,0,0,0,0,18,4302,21510,0,0,0,0,0,5,9,4,0
2021-03-22,1,1315,0,263,0,0,0,0,0,1,0,0,19,4565,22825,0,0,0,0,0,5,10,4,0
2021-03-23,5,1305,0,261,0,0,0,0,1,3,1,0,24,4826,24130,0,0,0,0,0,6,13,5,0
2021-03-24,1,965,0,193,0,0,0,0,0,1,0,0,25,5019,25095,0,0,0,0,0,6,14,5,0
2021-03-25,3,800,0,160,0,0,0,0,3,0,0,0,28,5179,25895,0,0,0,0,0,9,14,5,0
2021-03-26,0,1085,0,217,0,0,0,0,0,0,0,0,28,5396,26980,0,0,0,0,0,9,14,5,0
2021-03-27,1,780,0,156,0,0,0,0,0,1,0,0,29,5552,27760,0,0,0,0,0,9,15,5,0
2021-03-28,2,630,0,126,0,0,0,0,0,1,1,0,31,5678,28390,0,0,0,0,0,9,16,6,0
2021-03-29,5,960,0,192,0,0,0,0,0,4,1,0,36,5870,29350,0,0,0,0,0,9,20,7,0
2021-03-30,3,1045,0,209,0,0,0,0,1,1,0,0,39,6079,30395,0,0,0,0,0,10,21,7,0
2021-03-31,2,1225,0,245,0,0,0,0,1,0,0,0,41,6324,31620,0,0,0,0,0,11,21,7,0
2021-04-01,10,1900,0,380,0,0,0,0,3,0,0,0,51,6704,33520,0,0,0,0,0,14,21,7,0
2021-04-02,3,1745,0,349,0,0,0,0,0,1,0,0,54,7053,35265,0,0,0,0,0,14,22,7,0
2021-04-03,1,1715,0,343,0,0,0,0,1,0,0,0,55,7396,36980,0,0,0,0,0,15,22,7,0
2021-04-04,0,935,0,187,0,0,0,0,0,0,0,0,55,7583,37915,0,0,0,0,0,15,22,7,0
2021-04-05,4,1350,0,270,0,0,0,0,2,0,1,0,59,7853,39265,0,0,0,0,0,17,22,8,0
2021-04-06,1,2245,0,449,0,0,0,0,0,0,1,0,60,8302,41510,0,0,0,0,0,17,22,9,0
2021-04-07,6,4960,0,992,0,0,0,0,0,1,3,0,66,9294,46470,0,0,0,0,0,17,23,12,0
2021-04-08,3,4600,0,920,0,0,0,0,2,1,0,0,69,10214,51070,0,0,0,0,0,19,24,12,0
2021-04-09,6,6005,0,1201,0,0,0,0,1,4,1,0,75,11415,57075,0,0,0,0,0,20,28,13,0
2021-04-10,1,5690,0,1138,0,0,0,0,1,0,0,0,76,12553,62765,0,0,0,0,0,21,28,13,0
2021-04-11,1,4260,0,852,0,0,0,0,0,1,0,0,77,13405,67025,0,0,0,0,0,21,29,13,0
2021-04-12,8,5915,0,1183,0,0,0,0,3,4,0,0,85,14588,72940,0,0,0,0,0,24,33,13,0
2021-04-13,13,5475,0,1095,0,0,0,0,5,8,0,0,98,15683,78415,0,0,0,0,0,29,41,13,0
2021-04-14,19,7485,0,1497,0,0,0,0,10,7,2,0,117,17180,85900,0,0,0,0,0,39,48,15,0
2021-04-15,22,4740,0,948,0,0,0,0,9,12,1,0,139,18128,90640,0,0,0,0,0,48,60,16,0
2021-04-16,8,6475,0,1295,0,0,0,0,5,2,0,0,147,19423,97115,0,0,0,0,0,53,62,16,0
2021-04-17,9,1285,0,257,0,0,0,0,6,2,1,0,156,19680,98400,0,0,0,0,0,59,64,17,0
2021-04-18,3,2005,0,401,0,0,0,0,2,0,0,0,159,20081,100405,0,0,0,0,0,61,64,17,0
2021-04-19,12,3805,0,761,0,0,0,0,4,3,0,0,171,20842,104210,0,0,0,0,0,65,67,17,0
2021-04-20,5,2200,0,440,0,0,0,0,1,2,1,0,176,21282,106410,0,0,0,0,0,66,69,18,0
2021-04-21,0,825,0,165,0,0,0,0,0,0,0,0,176,21447,107235,0,0,0,0,0,66,69,18,0
2021-04-22,9,5665,0,1133,0,0,0,0,3,2,1,0,185,22580,112900,0,0,0,0,0,69,71,19,0
2021-04-23,14,4205,0,841,0,0,0,0,4,4,0,0,199,23421,117105,0,0,0,0,0,73,75,19,0
2021-04-24,4,8370,0,1674,0,0,0,0,2,1,0,0,203,25095,125475,0,0,0,0,0,75,76,19,0
2021-04-25,0,485,0,97,0,0,0,0,0,0,0,0,203,25192,125960,0,0,0,0,0,75,76,19,0
2021-04-26,3,1075,0,215,0,0,0,0,1,2,0,0,206,25407,127035,0,0,0,0,0,76,78,19,0
2021-04-27,7,3800,0,760,0,0,0,0,3,3,1,0,213,26167,130835,0,0,0,0,0,79,81,20,0
