date,deaths,injuries,severe,reported,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,death_years_not_specified,death_3_12_years,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years,total_death_years_not_specified
2021-01-01,0,583,0,155,0,0,0,0,0,0,0,0,0,0,155,583,0,0,0,0,0,0,0,0,0
2021-01-02,0,490,0,145,0,0,0,0,0,0,0,0,0,0,300,1073,0,0,0,0,0,0,0,0,0
2021-01-03,0,475,0,130,0,0,0,0,0,0,0,0,0,0,430,1548,0,0,0,0,0,0,0,0,0
2021-01-04,3,2087,0,608,0,0,0,0,0,2,1,0,0,3,1038,3635,0,0,0,0,0,0,2,1,0
2021-01-05,7,3765,0,1131,0,0,0,0,2,1,4,0,0,10,2169,7400,0,0,0,0,0,2,3,5,0
2021-01-06,2,3616,0,1107,0,0,0,0,1,1,0,0,0,12,3276,11016,0,0,0,0,0,3,4,5,0
2021-01-07,5,3734,0,1067,0,0,0,0,0,4,1,0,0,17,4343,14750,0,0,0,0,0,3,8,6,0
2021-01-08,4,5654,0,1689,0,0,0,0,0,3,0,0,0,21,6032,20404,0,0,0,0,0,3,11,6,0
2021-01-09,1,1856,0,508,0,0,0,0,0,1,0,0,0,22,6540,22260,0,0,0,0,0,3,12,6,0
2021-01-10,4,1916,0,499,0,0,0,0,2,2,0,0,0,26,7039,24176,0,0,0,0,0,5,14,6,0
2021-01-11,10,4475,0,1260,0,0,0,0,3,3,3,0,0,36,8299,28651,0,0,0,0,0,8,17,9,0
2021-01-12,8,5114,0,1491,0,0,0,0,3,1,3,0,0,44,9790,33765,0,0,0,0,0,11,18,12,0
2021-01-13,9,6066,0,1451,0,0,0,0,2,3,4,0,0,53,11241,39831,0,0,0,0,0,13,21,16,0
2021-01-14,13,7100,0,1420,0,0,0,0,3,6,4,0,0,66,12661,46931,0,0,0,0,0,16,27,20,0
2021-01-15,1,1409,0,308,0,0,0,0,0,0,1,0,0,67,12969,48340,0,0,0,0,0,16,27,21,0
2021-01-16,4,1219,0,328,0,0,0,0,0,2,2,0,0,71,13297,49559,0,0,0,0,0,16,29,23,0
2021-01-17,4,1077,0,291,0,0,0,0,0,1,2,0,0,75,13588,50636,0,0,0,0,0,16,30,25,0
2021-01-18,9,2723,0,778,0,0,0,0,0,8,1,0,0,84,14366,53359,0,0,0,0,0,16,38,26,0
2021-01-19,14,4134,0,1245,0,0,0,0,4,5,3,0,0,98,15611,57493,0,0,0,0,0,20,43,29,0
2021-01-20,9,3533,0,988,0,0,0,0,2,4,3,0,0,107,16599,61026,0,0,0,0,0,22,47,32,0
2021-01-21,27,4674,0,1390,0,0,0,0,3,9,8,0,0,134,17989,65700,0,0,0,0,0,25,56,40,0
2021-01-22,13,3696,0,1084,0,0,0,0,3,4,4,0,0,147,19073,69396,0,0,0,0,0,28,60,44,0
2021-01-23,2,1762,0,366,0,0,0,0,2,0,0,0,0,149,19439,71158,0,0,0,0,0,30,60,44,0
2021-01-24,3,1535,0,307,0,0,0,0,0,2,1,0,0,152,19746,72693,0,0,0,0,0,30,62,45,0
