date,deaths,injuries,severe,reported,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,death_years_not_specified,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years,total_death_years_not_specified
2021-01-01,0,4,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
2021-01-03,0,5,0,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0
2021-01-04,0,7,0,2,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0
2021-01-05,0,8,0,2,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0
2021-01-06,0,9,0,3,0,0,0,0,0,0,0,0,0,9,33,0,0,0,0,0,0,0,0,0
2021-01-07,0,19,0,4,0,0,0,0,0,0,0,0,0,13,52,0,0,0,0,0,0,0,0,0
2021-01-08,0,10,0,3,0,0,0,0,0,0,0,0,0,16,62,0,0,0,0,0,0,0,0,0
2021-01-10,0,3,0,1,0,0,0,0,0,0,0,0,0,17,65,0,0,0,0,0,0,0,0,0
2021-01-11,0,8,0,2,0,0,0,0,0,0,0,0,0,19,73,0,0,0,0,0,0,0,0,0
2021-01-12,0,14,0,4,0,0,0,0,0,0,0,0,0,23,87,0,0,0,0,0,0,0,0,0
2021-01-13,0,5,0,1,0,0,0,0,0,0,0,0,0,24,92,0,0,0,0,0,0,0,0,0
2021-01-14,0,5,0,1,0,0,0,0,0,0,0,0,0,25,97,0,0,0,0,0,0,0,0,0
2021-01-16,0,7,0,3,0,0,0,0,0,0,0,0,0,28,104,0,0,0,0,0,0,0,0,0
2021-01-17,0,8,0,2,0,0,0,0,0,0,0,0,0,30,112,0,0,0,0,0,0,0,0,0
2021-01-18,0,8,0,2,0,0,0,0,0,0,0,0,0,32,120,0,0,0,0,0,0,0,0,0
2021-01-19,1,11,0,3,0,0,0,0,0,1,0,0,1,35,131,0,0,0,0,0,0,1,0,0
2021-01-21,0,6,0,2,0,0,0,0,0,0,0,0,1,37,137,0,0,0,0,0,0,1,0,0
2021-01-22,0,12,0,3,0,0,0,0,0,0,0,0,1,40,149,0,0,0,0,0,0,1,0,0
2021-01-24,0,10,0,2,0,0,0,0,0,0,0,0,1,42,159,0,0,0,0,0,0,1,0,0
2021-01-25,0,40,0,8,0,0,0,0,0,0,0,0,1,50,199,0,0,0,0,0,0,1,0,0
2021-01-26,1,15,0,3,0,0,0,0,0,1,0,0,2,53,214,0,0,0,0,0,0,2,0,0
2021-01-27,0,10,0,2,0,0,0,0,0,0,0,0,2,55,224,0,0,0,0,0,0,2,0,0
2021-01-28,0,3,0,1,0,0,0,0,0,0,0,0,2,56,227,0,0,0,0,0,0,2,0,0
