date,deaths,injuries,severe,reported,death_0_1_month,death_2_month_2_years,death_3_11_years,death_12_17_years,death_18_64_years,death_65_85_years,death_more_than_85_years,death_years_not_specified,total_deaths,total_reported,total_injuries,total_severe,total_death_0_1_month,total_death_2_month_2_years,total_death_3_11_years,total_death_12_17_years,total_death_18_64_years,total_death_65_85_years,total_death_more_than_85_years,total_death_years_not_specified,death_3_12_years
2021-01-01,1,1832,0,491,0,0,0,0,0,1,0,0,1,491,1832,0,0,0,0,0,0,1,0,0,0
2021-01-02,0,1593,0,465,0,0,0,0,0,0,0,0,1,956,3425,0,0,0,0,0,0,1,0,0,0
2021-01-03,2,1539,0,412,0,0,0,0,0,1,1,0,3,1368,4964,0,0,0,0,0,0,2,1,0,0
2021-01-04,7,5048,0,1449,0,0,0,0,2,2,3,0,10,2817,10012,0,0,0,0,0,2,4,4,0,0
2021-01-05,13,7325,0,2132,0,0,0,0,3,3,7,0,23,4949,17337,0,0,0,0,0,5,7,11,0,0
2021-01-06,6,8051,0,2347,0,0,0,0,2,2,2,0,29,7296,25388,0,0,0,0,0,7,9,13,0,0
2021-01-07,10,10054,0,2813,0,0,0,0,0,7,3,0,39,10109,35442,0,0,0,0,0,7,16,16,0,0
2021-01-08,11,11115,0,3177,0,0,0,0,3,4,3,0,50,13286,46557,0,0,0,0,0,10,20,19,0,0
2021-01-09,2,4021,0,1093,0,0,0,0,1,1,0,0,52,14379,50578,0,0,0,0,0,11,21,19,0,0
2021-01-10,4,3662,0,975,0,0,0,0,2,2,0,0,56,15354,54240,0,0,0,0,0,13,23,19,0,0
2021-01-11,19,8790,0,2497,0,0,0,0,5,7,6,0,75,17851,63030,0,0,0,0,0,18,30,25,0,0
2021-01-12,15,9266,0,2675,0,0,0,0,6,2,6,0,90,20526,72296,0,0,0,0,0,24,32,31,0,0
2021-01-13,16,11417,0,2701,0,0,0,0,4,7,5,0,106,23227,83713,0,0,0,0,0,28,39,36,0,0
2021-01-14,17,13670,0,2734,0,0,0,0,3,9,5,0,123,25961,97383,0,0,0,0,0,31,48,41,0,0
2021-01-15,1,2661,0,591,0,0,0,0,0,0,1,0,124,26552,100044,0,0,0,0,0,31,48,42,0,0
2021-01-16,8,3280,0,911,0,0,0,0,3,3,2,0,132,27463,103324,0,0,0,0,0,34,51,44,0,0
2021-01-17,6,3129,0,900,0,0,0,0,1,2,2,0,138,28363,106453,0,0,0,0,0,35,53,46,0,0
2021-01-18,15,6861,0,1962,0,0,0,0,1,12,2,0,153,30325,113314,0,0,0,0,0,36,65,48,0,0
2021-01-19,21,8591,0,2569,0,0,0,0,4,11,4,0,174,32894,121905,0,0,0,0,0,40,76,52,0,0
2021-01-20,22,8153,0,2353,0,0,0,0,3,13,6,0,196,35247,130058,0,0,0,0,0,43,89,58,0,0
2021-01-21,38,10531,0,3066,0,0,0,0,6,14,11,0,234,38313,140589,0,0,0,0,0,49,103,69,0,0
2021-01-22,24,10489,0,3067,0,0,0,0,7,10,5,0,258,41380,151078,0,0,0,0,0,56,113,74,0,0
2021-01-23,4,5200,0,1078,0,0,0,0,2,2,0,0,262,42458,156278,0,0,0,0,0,58,115,74,0,0
2021-01-24,8,4995,0,999,0,0,0,0,1,4,3,0,270,43457,161273,0,0,0,0,0,59,119,77,0,0
2021-01-25,30,14920,0,2984,0,0,0,0,1,14,9,0,300,46441,176193,0,0,0,0,0,60,133,86,0,0
2021-01-26,35,14590,0,2918,0,0,0,0,4,18,13,0,335,49359,190783,0,0,0,0,0,64,151,99,0,0
2021-01-27,30,15845,0,3169,0,0,0,0,5,16,7,0,365,52528,206628,0,0,0,0,0,69,167,106,0,0
